Summary run status                                FAIL
                                             
Artifacts dir                                     2020-12-16_21-06-35                               
OS                                                Linux                                             
DC Apps Performance Toolkit version               3.2.0                                             
Application                                       bitbucket 6.10.5                                  
Dataset info                                      52000 repositories                                
Application nodes count                           1                                                 
Concurrency                                       20                                                
Expected test run duration from yml file          3000 sec                                          
Actual test run duration                          3611 sec                                          
Total Git operations count                        29953                                             
Total Git operations compliant                    (True, 'OK')                                      
Finished                                          (True, 'OK')                                      
Compliant                                         (True, 'OK')                                      
Success                                           (False, 'One or more actions have success rate < 95.0 %.')
Has app-specific actions                          False                                             

Action                                           Success Rate                                      Status                                            
jmeter_clone_repo_via_http                        100.0                                             OK                                                
jmeter_clone_repo_via_ssh                         100.0                                             OK                                                
jmeter_create_repo_shallow_copy                   100.0                                             OK                                                
jmeter_git_add                                    100.0                                             OK                                                
jmeter_git_commit                                 100.0                                             OK                                                
jmeter_git_fetch_via_http                         100.0                                             OK                                                
jmeter_git_fetch_via_ssh                          100.0                                             OK                                                
jmeter_git_push_via_http                          100.0                                             OK                                                
jmeter_git_push_via_ssh                           100.0                                             OK                                                
selenium_a_login                                  5.95                                              Fail                                              
selenium_comment_pull_request_diff                100.0                                             OK                                                
selenium_comment_pull_request_overview            100.0                                             OK                                                
selenium_create_pull_request                      100.0                                             OK                                                
selenium_logout                                   100.0                                             OK                                                
selenium_view_branches                            100.0                                             OK                                                
selenium_view_commits                             100.0                                             OK                                                
selenium_view_dashboard                           100.0                                             OK                                                
selenium_view_list_pull_requests                  100.0                                             OK                                                
selenium_view_project_repositories                100.0                                             OK                                                
selenium_view_projects                            100.0                                             OK                                                
selenium_view_pull_request_commits                100.0                                             OK                                                
selenium_view_pull_request_diff                   100.0                                             OK                                                
selenium_view_pull_request_overview               100.0                                             OK                                                
selenium_view_repo                                100.0                                             OK                                                
